Number,Name,Script
0,,(딸랑 딸랑)
1,최알바,어서오세요.
2,진상2,"야, 알바.# 저기~ 그 뭐야!"
3,,아씨.. 반말해서 살짝 기분은 나쁘지만 참아야지..# 익숙해져야 한다.
4,진상2,침이슬 한병만 가져다 줘라.# 오늘 공사 뛰고 와서 다리가 많이 아파~
5,,아무리 봐도 멀쩡해 보이는데;;
6,선택지,
7,,
8,최알바,여깄습니다.# 원래는 직접 가지고 오셔야 해요…
9,진상2,거 되게 생색내네.# 넌 어른 공경도 모르냐?
10,최알바,편의점은 셀프에요.# 손님께서 가져오셔야 합니다.
11,진상2,내가 일부러 그랬다냐?# 아픈 사람은 배려해야 마땅한거여~
12,,"아니, 내가 뭘 잘못 말했나?# 왜 저러지.."
13,선택지,
14,,
15,,틀린 말 했습니까?# 다리 아픈 건 손님 사정이죠
16,,그리고 어쨌든 가져다 드렸잖아요?# 다음에 또 그러실 것 같아서# 말씀드린거에요
17,,어린 게 눈 시퍼렇게 뜨고# 지금 말대답 하는겨 시방?
18,,가게가 여기밖에 없는 줄 알아?
19,,카운터에 현금이 있다보니까# 자리를 비우면 안돼서요..ㅎㅎ
20,,생색 내려고 한 건 아니었는데..# 정말 죄송합니다.
21,,죄송합니다.# 배려해드리고 싶지만…
22,,카운터에 현금이 있어서# 자리 비우면 안됩니다.
23,진상2,옘병.. 내가 돈 훔칠 사람으로 보인다는거야# 뭐야!?
24,,지금껏 한 점 부끄러움 없이 살았는디.# 그런 나를 의심하는거여?
25,,"네, 모르구요.# 일부러 그러신 거 맞잖아요."
26,,아픈 사람이 화낼 기운은 있나봅니다~# 대단하네요.
27,,"뭐, 뭐여!?"
28,,요즘 것들은 주인 의식이라는게 없어!
29,,주인 의식이 있으면# 이딴식으로 못 대하지.
30,,손님 귀한 줄 모르고.
31,,여기는 직원 교육부터가 잘못됐어.# 내가 본사에 민원넣을거여!
32,선택지,
33,,
34,,죄송합니다.# 민원은 제발 넣지 말아주세요.# 다음부터는 행실 똑바로 하겠습니다.
35,진상2,"흥, 운 좋은 줄 알어!# 나니까 넘어가주는거야"
36,,후우…..# 넣으세요. 저 어차피 곧 그만둬요.
37,,즈그 애비 뻘인데도 이리 싸가지가 없어서야.
38,최알바,그냥 가버렸다.# 저런 사람은 일찍 뒤졌으면 좋겠다.
