Number,Name,Script
0,,(딸랑 딸랑)
1,최알바,어서오세요.
2,일반 4,안녕하세요.
3,일반 4,혹시 여기 현금인출기 있나요?
4,최알바,아.. 없습니다.
5,일반 4,아.. 그렇군요.
6,일반 4,(표정이 안좋아진다.)
7,일반 4,이 근처에 은행이나 현금인출기 있는 곳 있나요?
8,,설명하려면 복잡한데.. 어쩌지?
9,,
10,,
11,최알바,잘 모르겠네요…
12,최알바,죄송합니다.
13,일반 4,ㅎㅎ 아닙니다.
14,일반 4,고생많으십니다.
15,일반 4,안녕히 계세요~
16,최알바,나가셔서 바로 오른쪽으로 쭉 가세요.  그런 다음…
17,최알바,(가는 길을 설명한다.)
18,최알바,이해 안되는 부분 있으세요?
19,일반 4,아뇨! 이해 했습니다.
20,일반 4,번거로우실텐데 감사합니다.
21,일반 4,(박카스 두병을 건넨다.)
22,일반 4,별 건 아니지만# 받아주세요
23,일반 4,항상 수고 많으십니다.
24,일반 4,안녕히 계세요!
25,최알바,넵. 안녕히 가세요!
26,,(딸랑 딸랑)
27,최알바,어서오세요.
28,일반 7,어이# 히사시부리다나─
29,일반 7,달콤한 「그것」은 준비됐겠지─?
30,,브로마이드 말하는건가?
31,,오늘은 장단 맞춰줘야겠다.
32,,
33,,
34,최알바,아야세의 「그것」말인가?
35,일반 7,무례한 자식─ ! !
36,일반 7,지난 연인을 언급하다니─ ….
37,일반 7,….. …….
38,일반 7,후훗# 노조미쨩─ 질투할 필요 없어
39,일반 7,이 자리에서 선언하도록 하지.
40,일반 7,소년─.
41,일반 7,나에게 그녀는 스쳐지나간 바람일 뿐이다.
42,일반 7,그깟 이름 따위로 날 흔들어놓을 작정이라면…
43,일반 7,너의 「패배」다.
44,일반 7,……. …. 그것을 내게 주겠나?
45,최알바,후후… 준비됐다고 ─
46,최알바,아야세의 「그것」. 맞지?
47,일반 7,쉿# 그녀가 듣고있다고─! !
48,일반 7,소년 ─# 지난 연인을 언급하는건 실례다.
49,일반 7,이름 따위로 날 흔들어놓을 심산이었겠지만─
50,일반 7,너의 「패배」만 인정한 꼴이 됐군
51,일반 7,……. … .
52,일반 7,후훗# 노조미쨩─ 질투할 필요 없어
53,일반 7,보여주도록 하지.
54,일반 7,……. ………. .
55,일반 7,소년# 그것을 내게 주겠나─?
56,,
57,,
58,최알바,… 정말 괜찮겠나?
59,최알바,(아야세 브로마이드를 건넨다.)
60,일반 7,….. …. .
61,일반 7,….. ……… .
62,최알바,설마 망설이는건가?
63,최알바,네 옆의 그녀가 실망하겠군
64,일반 7,"….. 고맙다, 소년"
65,일반 7,덕분에 진정한 마음을 깨달았으니─
66,최알바,이걸로 뭘 할 셈이지?
67,최알바,전 연인을 마주하는 건 금기 아니었나─
68,일반 7,"… 흥, 마주하는 것이 아니다."
69,일반 7,그녀를 안심시켜주고 싶은 마음 뿐─!
70,최알바,변명은 용서하지 않는다# 애송이.
71,최알바,(아야세 브로마이드를 건넨다.)
72,일반 7,크흣# 이쪽도 마찬가지라고─! !
73,일반 7,똑똑히 보라구 노조미쨩
74,일반 7,아야세가(브로마이드를 찢는다.) 처절히 찢겨지는 모습을 ─ ! !
75,일반 7,……. …… …
76,일반 7,아아─ 소개가 늦었군.
77,일반 7,정식으로 소개하도록 하지
78,일반 7,이쪽은 토죠 노조미 ─
79,일반 7,나의 7 번째 여자다.
80,,
81,,
82,최알바,여자가 많이 바뀌는군.
83,일반 7,바람에 흔들리는 나무일수록 뿌리가 깊은 법─ .
84,일반 7,지금의 나는 노조미쨩을 연모한다.
85,최알바,아야세는 내 곁에 두겠다.
86,일반 7,스친 사람에겐 더 이상 관심 없다.
87,일반 7,…. 그녀를 잘 거두어주도록─ .
88,일반 7,이만 가보도록 하지.
89,일반 7,사요나라─# 아야세──
90,,벌써 시간이 이렇게 됐네.
91,,이제 슬슬 마감해야지
