Number,Name,Script
0,,(딸랑 딸랑)
1,최알바,어서오세요.
2,진상2,"어, 그래."
3,,진상 2는 얼음컵과 음료팩을 가지고 왔다.
4,진상2,"야, 결제."
5,최알바,"1,800 원입니다."
6,,(딸랑 딸랑)
7,최알바,어서오세요.
8,진상9,…. ……….
9,진상9,예… 예끼 이눔아!
10,진상9,"손, 손님이 왔으면 크, 큰 소리로 인사해야지!"
11,,진상 9(남)은 빵을 쥔 채 머뭇거린다.
12,진상9,"오, 오늘은 크림빵이 새,생각나서…"
13,진상9,"계, 계산.."
14,진상2,"이보슈, 아직 저 결제중입니다?"
15,진상9,"저, 젊은 양반이 양보좀 해주지~.."
16,최알바,결제 다 됐습니다.
17,진상2,…. ……….
18,,진상 2(남)는 안비켜주고 계산대에서 느긋하게 음료팩을 얼음컵에 붓는다.
19,,아 이게 뭐하는 짓이야;
20,,뒤에 사람있는거 안보이나?
21,선택지,
22,,
23,최알바,비켜주시겠어요?
24,,다음 손님이 기다리고 계세요.
25,진상2,얼마나 걸린다고 X랄이여~ 
26,진상2,"1,800원짜리 손님은 손님도 아니라 이거냐?"
27,진상9,"무, 무릎이 안좋아서…. …"
28,진상9,"오, 오래 못 서있는다네… 비, 비켜주게."
29,진상2,댁은 기다림의 미학도 모르슈?
30,진상2,서지도 못하는 노친네가 왜 나와서
31,진상2,민폐를 끼치고 댕기나.
32,최알바,"다음 손님, 물건 주세요."
33,최알바,계산해드릴게요.
34,진상2,가뜩이나 좁은데 뭐하는 시추에이션?
35,진상2,"거의 다 했으니깐, 기다리슈."
36,진상9,"차, 찬물도 위아래가 있거늘,# 에잉..! 쯧쯧"
37,진상2,에휴.. 성질 급한 노인네
38,진상2,늙으면 죽어야지..~~
39,,진상 2(남)는 다 쓴 음료팩과 비닐을 계산대에 버리듯 두고 나갔다.
40,,쓰레기통에 버리지. 하여간..
41,진상9,"…. 느, 늙으면.. 주,죽어야지…"
42,,진상 9는 혼자 중얼거리더니 그냥 가버렸다.
