Number,Name,Script
0,최알바,"어, 점장님!"
1,최알바,안녕하세요.
2,최알바,오늘 못 오신다더니..
3,점장님,그러게 말이야
4,점장님,어쩌다보니 그렇게 됐다.
5,점장님,어쨌든 얼굴 봐서 좋네.
6,점장님,"파이팅하고, 일자리 없으면 연락해~"
7,최알바,넵! 들어가십쇼
8,,(딸랑 딸랑)
9,최알바,어서오세요.
10,진상 8,쓰레기 봉투 20L 1 개 주세요.
11,,여긴 쓰레기 봉투 안파는데…
12,,아마 저 여자… 또 에아팟 꼈겠지?
13,,
14,,
15,최알바,(귀 톡톡 제스처를 취한다.)
16,진상 8,….. ….?
17,진상 8,(표정이 살짝 구겨진다.)
18,최알바,저희 편의점은 쓰레기봉투 안팔아요.
19,진상 8,……… …….
20,진상 8,(아무말 없이 눈만 굴린다.)
21,,에어팟은 딱히 빼지 않는 듯..?
22,,
23,,
24,최알바,내 말 못듣지?
25,최알바,이만하면 에아팟 좀 빼고 살아라
26,최알바,학습 능력이라곤 ㅈ도 없는 년
27,진상 8,ⓡ… ……..허ⓔ
28,진상 8,이거 완전 미 X 놈 아니야?
29,진상 8,야 다시 말해봐
30,,에아팟 낀거 아니었나?;
31,,에라 모르겠다
32,최알바,에아팟 빼고 살아라.
33,최알바,음량을 좀 줄이던지..
34,최알바,길갈 때 주변 소리는 들려?
35,최알바,너 그러다 차에 치여 뒤져~
36,진상 8,또라이 같은 새 X..
37,진상 8,방금 다 녹음했거든? 
38,최알바,응~~ 어차피 오늘 그만둘거야~
39,최알바,얼른 꺼져~~
40,최알바,혹시 못 들으셨나요?
41,최알바,저희 편의점은 쓰레기 봉투 안팝니다.
42,최알바,다른 곳에서 사셔야 할 것 같아요.
43,진상 8,아뇨. 들었어요
44,진상 8,저번에 여기서 샀던 것 같은데…
45,진상 8,종량제 봉투도 없어요?
46,,에아팟은 아무래도 안낀 것 같다
47,,욕했으면 큰일날 뻔….
48,최알바,네.. 없어요
49,최알바,죄송합니다ㅠ
50,진상 8,아.. 죄송할 건 아니죠.
51,진상 8,안녕히 계세요
52,최알바,넵 안녕히 가세요
53,,(딸랑 딸랑)
54,최알바,어서오세요.
55,진상 2,?? 야!
56,진상 2,쌔끼가… 너 일로와 봐.
57,진상 2,인사를 말로만 해?
58,진상 2,"머리를 숙여야지, 머리를."
59,진상 2,다시해
60,최알바,네?
61,진상 2,다시 인사하라니깐~~?
62,진상 2,상냥하게 고개 조아려 봐~
63,진상 2,그래야 인사 받는 나도 기분 좋지
64,진상 2,손님이 만족하면 너도 좋은거 아냐?
65,,
66,,
67,최알바,고개 숙였습니다.
68,최알바,눈에 살쪄서 못 보신 듯 한데요.
69,최알바,아니면 눈 두덩이에 가려졌나?
70,진상 2,ⓡ이 ㅅ끼 말하는 거 보게ⓔ
71,진상 2,야. 니 나랑 맞먹냐?
72,진상 2,내가 못봤다잖아~
73,진상 2,다시 인사해. 그럼 봐줄게.
74,최알바,(고개를 숙이며) 어서오세요.
75,최알바,됐나요?
76,진상 2,하기 싫냐?
77,진상 2,싫은티 팍팍 내면서 하면 안되지~
78,,
79,,
80,최알바,…..(고개 숙이며) 안녕하세요.
81,진상 2,“어서오세요”라고 해야지
82,진상 2,하여간 덜떨어진 ㅅ끼 ㅋ
83,진상 2,앞으로 인사 제대로 해라~
84,최알바,….네.
85,진상 2,표정 안피냐?
86,진상 2,ㅆㅂ.. 술맛 떨어지게.
87,진상 2,됐다. 담에 살란다.
88,최알바,안녕히 가세요.
89,최알바,인사 받고싶으면 백화점 가세요
90,최알바,맨날 술 처먹는게… 대접은 받고싶어서ㅋㅋ
91,최알바,어이가 없네요
92,진상 2,ⓡ‘처먹는게?’ⓔ
93,진상 2,ㅆㅂ 술사는데 돈 보태줬냐?
94,진상 2,그리고 인사 받고싶은 게 아니라 교육해주는거야!
95,최알바,교육은 무슨..ㅋㅋ 지랄하네
96,진상 2,"아니, 근데 이 ㅅ끼가…"
97,진상 2,………….. …………….
98,진상 2,(말없이 노려본다.)
99,진상 2,알바야. 밤 길 조심해라.
100,진상 2,진짜 뒤진다
101,최알바,….. ………..
