Number,Name,Script,Face
0,,(딸랑 딸랑),
1,최알바,어서오세요.,8_1_1
2,,ⓐ손님이 계산대에 물건을 올려놓는다.ⓔ,
3,진상 8,계산해주세요.# 이건 적립이요.,8_2_1
4,최알바,넵. 적립했습니다.# 봉투 필요하신가요?,8_2_3
5,진상 8,…… .,
6,최알바,봉투 필요하신가요..?,
7,진상 8,………… .,
8,,ⓐ왜 대답이 없지..?# 봉투가 필요 없다는 건가?ⓔ,
9,,,
10,,,
11,최알바,"7,200원 결제 되셨습니다!",8_2_2
12,최알바,저기… 봉투.. 필요하세요?,8_2_3
13,진상 8,아! 아뇨. 괜찮아요. ,
14,최알바,"넵.# 7,200 원 결제 되셨습니다.",
15,진상 8,…………… .,8_2_3
16,최알바,저.. 결제 되셨습니다. ,8_2_2
17,진상 8,……. .,
18,진상 8,"… 아, 봉투에 담아주세요. ",
19,,ⓐ아니.. 물어봤잖아요!! ㅠㅠⓔ,8_2_3
20,최알바,봉투값 100원 더 주셔야 합니다..,
21,진상 8,….. . …,
22,,ⓐ또 대답없네.ⓔ,
23,,,
24,,,
25,최알바,봉! 투! 값! 100원!! 주셔야 합니다..!,
26,진상 8,… 뭐라구요?,8_2_2
27,진상 8,…. ….,
28,진상 8,ⓡ… 봉투 달라니까요?;;ⓔ,
29,최알바,백원! 백원! 백원!,8_2_2
30,,"ⓐ힘차게 입을 벌리니, 그제서야 쳐다본다.ⓔ",
31,,ⓐ그녀가 머리카락을 귀 뒤로 넘기자 드러나는 에아팟… ㅠㅠⓔ,
32,진상 8,"아, 봉투값..",
33,진상 8,그냥 가져갈게요. ,
34,최알바,네… 안녕히 가세요.,
35,,ⓐ에휴.. 음악소리가 얼마나 크길래.ⓔ,
