Number,Name,Script
0,,(딸랑 딸랑)
1,,어라 이 냄새는..
2,,저번에 왔던 그 진상이잖아..!
3,주인공 (최알바),어서오세요.
4,진상 3,저… 기억하죠?
5,진상 3,이거 외상 좀 안될까요..?
6,,진상 3(남)은 막걸리 2 병을 내밀었다.
7,,고작 술 2 병 사면서 외상해달라는거야..? 또?
8,진상 3,어떻게.. 안될까요? 저 단골이잖아요.  
9,진상 3,사는게 참 팍팍해서요.. ㅎㅎ
10,,
11,,
12,주인공 (최알바),싫은데요.. 외상은 안돼요.
13,,외상 계속 하려 하네.  
14,,양심이 있어야지..!
15,진상 3,제가.. 정말 돈이 없거든요..  
16,진상 3,다음에 올 때 꼭 가져올게요…
17,,아니.. 저번에도 그랬으면서.  
18,,으악 냄새 X 발
19,,
20,,
21,주인공 (최알바),제가 이번주만 나오는 거라..
22,주인공 (최알바),다음에 오셔도 알바가 바뀌어서 기억 못해요.
23,진상 3,다음에 진짜 갚을게요….
24,,째려보며 아무 대답도 하지 않자  진상 3(남)도 지친듯 그냥 돌아갔다
25,,
26,주인공 (최알바),공병 다 바꿔달라고 민폐끼치는 게  어떻게 단골입니까? 진상이죠.
27,주인공 (최알바),꼴이 그게 뭡니까?
28,진상 3,그냥 안된다고 하면 되지… 
29,진상 3, 나 이제.. 얼마 살지도 못할텐데.
30,,너무 심했나..
31,,ⓡ큰 돈은 아니긴 했는데.  괜히 미안해지네..ⓔ
32,,
33,주인공 (최알바),ⓡ알았어요.. 해드릴게요.ⓔ
34,,이젠 말섞기도 싫다..  
35,,그냥 지갑 잃어버렸다 생각하자
36,진상 3,감사합니다.. 
37,진상 3,진짜 감사합니다..
38,주인공 (최알바),네.. 안녕히 가세요.
39,,진상 3(남)은 기분 좋은 듯 술을 품에 안은 채 밖으로 나갔다.
